,index,dato,dati,hors,meas,fore,q5,10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,time
0,50,2017-01-01 01:00:00,2016-12-31 12:00:00,13,144796.0,138563.0,90423.0,108710.0,121071.0,127537.0,131273.0,134172.0,136054.0,137811.0,139275.0,141163.0,142993.0,144718.0,146568.0,148821.0,150989.0,152172.0,153606.0,156823.0,157806.0,12:00:00
1,51,2017-01-01 02:00:00,2016-12-31 12:00:00,14,138824.0,139105.0,84651.0,108377.0,118738.0,126285.0,130194.0,134427.0,136471.0,137790.0,139317.0,141107.0,143269.0,144843.0,146943.0,148726.0,150211.0,152244.0,154077.0,155062.0,157605.0,12:00:00
2,52,2017-01-01 03:00:00,2016-12-31 12:00:00,15,139307.0,138035.0,96420.0,111929.0,119582.0,124943.0,129617.0,132186.0,134268.0,135814.0,137119.0,139637.0,140940.0,141909.0,144100.0,146150.0,148299.0,150362.0,153688.0,155021.0,156767.0,12:00:00
3,53,2017-01-01 04:00:00,2016-12-31 12:00:00,16,139602.0,138786.0,101909.0,111329.0,120306.0,124232.0,129451.0,132178.0,134922.0,136107.0,137312.0,139525.0,141384.0,143238.0,145445.0,147903.0,150514.0,152098.0,153253.0,154366.0,156323.0,12:00:00
4,54,2017-01-01 05:00:00,2016-12-31 12:00:00,17,137667.0,136031.0,95823.0,104261.0,115444.0,120678.0,126119.0,129464.0,131619.0,133547.0,135096.0,136589.0,138565.0,140940.0,142948.0,145022.0,147950.0,151025.0,152227.0,154101.0,157501.0,12:00:00
5,55,2017-01-01 06:00:00,2016-12-31 12:00:00,18,114107.0,128874.0,88974.0,101313.0,108332.0,112846.0,116678.0,120141.0,123672.0,125740.0,127864.0,129339.0,130990.0,133086.0,135476.0,137967.0,141109.0,144825.0,146963.0,150522.0,153656.0,12:00:00
6,56,2017-01-01 07:00:00,2016-12-31 12:00:00,19,37123.0,130481.0,82070.0,103014.0,110972.0,117030.0,120915.0,123513.0,125874.0,128667.0,130175.0,131978.0,133419.0,135277.0,137707.0,140344.0,143825.0,146140.0,149186.0,150294.0,153648.0,12:00:00
7,57,2017-01-01 08:00:00,2016-12-31 12:00:00,20,68541.0,73831.0,29850.0,41654.0,49895.0,54721.0,57950.0,61706.0,64072.0,66891.0,68718.0,70939.0,73209.0,76014.0,81135.0,86141.0,92001.0,96968.0,102901.0,110220.0,121256.0,12:00:00
8,58,2017-01-01 09:00:00,2016-12-31 12:00:00,21,37023.0,74427.0,33046.0,44180.0,49893.0,53785.0,58589.0,62287.0,65030.0,67357.0,69961.0,72423.0,76097.0,79003.0,83137.0,86789.0,91551.0,96157.0,102138.0,109942.0,117335.0,12:00:00
9,59,2017-01-01 10:00:00,2016-12-31 12:00:00,22,16013.0,62913.0,21498.0,30758.0,38352.0,42622.0,47173.0,49808.0,52786.0,55023.0,57807.0,60651.0,63701.0,66456.0,70512.0,76307.0,80493.0,86428.0,93504.0,100155.0,111168.0,12:00:00
10,60,2017-01-01 11:00:00,2016-12-31 12:00:00,23,19108.0,64878.0,26204.0,34335.0,39409.0,44809.0,49192.0,52551.0,55105.0,57380.0,60264.0,62485.0,65308.0,68831.0,73271.0,77365.0,81647.0,86188.0,91463.0,99318.0,113263.0,12:00:00
11,61,2017-01-01 12:00:00,2016-12-31 12:00:00,24,16199.0,66925.0,25451.0,34981.0,41724.0,46271.0,50472.0,54288.0,56864.0,59067.0,62772.0,65486.0,69361.0,71831.0,75945.0,79634.0,84833.0,88958.0,96000.0,103172.0,113507.0,12:00:00
12,62,2017-01-01 13:00:00,2016-12-31 12:00:00,25,29657.0,95342.0,49004.0,62557.0,72496.0,77341.0,82437.0,86281.0,88980.0,91231.0,93535.0,95810.0,97999.0,100779.0,104312.0,107991.0,110793.0,115150.0,119120.0,124591.0,131429.0,12:00:00
