TIMESTAMP,FORECAST
20180201 01:00,0,877881549
20180201 02:00,0,886773159
20180201 03:00,0,846354171
20180201 04:00,0,806743793
20180201 05:00,0,814993639
20180201 06:00,0,825738201
20180201 07:00,0,83156428
20180201 08:00,0,813580731
20180201 09:00,0,807723414
20180201 10:00,0,826972711
20180201 11:00,0,880282516
20180201 12:00,0,882270873
20180201 13:00,0,90481793
20180201 14:00,0,933620869
20180201 15:00,0,890494549
20180201 16:00,0,880784304
20180201 17:00,0,797397034
20180201 18:00,0,5689366
20180201 19:00,0,378601237
20180201 20:00,0,42025271
20180201 21:00,0,447440843
20180201 22:00,0,4973669
20180201 23:00,0,539311964
20180202 00:00,0,46790284
20180202 01:00,0,481060788
20180202 02:00,0,428615569
20180202 03:00,0,326895724
20180202 04:00,0,328671168
20180202 05:00,0,379866053
20180202 06:00,0,670591433
20180202 07:00,0,699298983
20180202 08:00,0,821688501
20180202 09:00,0,829601226
20180202 10:00,0,673965231
20180202 11:00,0,633470827
20180202 12:00,0,528550552
20180202 13:00,0,536704394
20180202 14:00,0,462030672
20180202 15:00,0,374837893
20180202 16:00,0,363178122
20180202 17:00,0,313132807
20180202 18:00,0,302557748
20180202 19:00,0,293995399
20180202 20:00,0,239967793
20180202 21:00,0,19877628
20180202 22:00,0,20738571
20180202 23:00,0,18861997
20180203 00:00,0,194160552
20180203 01:00,0,1712556
20180203 02:00,0,099362256
20180203 03:00,0,090490294
20180203 04:00,0,148737445
20180203 05:00,0,125301885
20180203 06:00,0,159392922
20180203 07:00,0,117403911
20180203 08:00,0,058045668
20180203 09:00,0,142750829
20180203 10:00,0,128506204
20180203 11:00,0,207955405
20180203 12:00,0,179925865
20180203 13:00,0,222316351
20180203 14:00,0,221315548
20180203 15:00,0,18079738
20180203 16:00,0,16502357
20180203 17:00,0,244974227
20180203 18:00,0,275964488
20180203 19:00,0,299922881
20180203 20:00,0,40564136
20180203 21:00,0,464740364
20180203 22:00,0,605344989
20180203 23:00,0,635215384
20180204 00:00,0,668748433
20180204 01:00,0,697579276
20180204 02:00,0,732025074
20180204 03:00,0,713313207
20180204 04:00,0,715461167
20180204 05:00,0,682879461
20180204 06:00,0,685003388
20180204 07:00,0,678586667
20180204 08:00,0,663394917
20180204 09:00,0,663841381
20180204 10:00,0,636699037
20180204 11:00,0,598288638
20180204 12:00,0,50120698
20180204 13:00,0,505364754
20180204 14:00,0,50132992
20180204 15:00,0,434952354
20180204 16:00,0,378601784
20180204 17:00,0,475064649
20180204 18:00,0,454082222
20180204 19:00,0,461070206
20180204 20:00,0,417504223
20180204 21:00,0,339163246
20180204 22:00,0,343603093
20180204 23:00,0,332867775
20180205 00:00,0,284822146
20180205 01:00,0,192569404
20180205 02:00,0,159874326
20180205 03:00,0,187462979
20180205 04:00,0,176698355
20180205 05:00,0,160494586
20180205 06:00,0,108068948
20180205 07:00,0,087352883
20180205 08:00,0,095586509
20180205 09:00,0,100012771
20180205 10:00,0,06509641
20180205 11:00,0,048779204
20180205 12:00,0,064427145
20180205 13:00,0,035655798
20180205 14:00,0,039939743
20180205 15:00,0,032172305
20180205 16:00,0,04170396
20180205 17:00,0,045519026
20180205 18:00,0,051401133
20180205 19:00,0,054402877
20180205 20:00,0,046088036
20180205 21:00,0,066800835
20180205 22:00,0,057106684
20180205 23:00,0,050127678
20180206 00:00,0,037302117
20180206 01:00,0,104201632
20180206 02:00,0,122179856
20180206 03:00,0,108699319
20180206 04:00,0,088620778
20180206 05:00,0,105047627
20180206 06:00,0,083358732
20180206 07:00,0,106484625
20180206 08:00,0,106680258
20180206 09:00,0,120526254
20180206 10:00,0,11180263
20180206 11:00,0,153803829
20180206 12:00,0,199589762
20180206 13:00,0,257205761
20180206 14:00,0,275228948
20180206 15:00,0,339877932
20180206 16:00,0,366437708
20180206 17:00,0,231620629
20180206 18:00,0,062961937
20180206 19:00,0,051448157
20180206 20:00,0,02120464
20180206 21:00,0,055332005
20180206 22:00,0,054205549
20180206 23:00,0,184623052
20180207 00:00,0,442215387
20180207 01:00,0,127595726
20180207 02:00,0,153790836
20180207 03:00,0,261244431
20180207 04:00,0,229756419
20180207 05:00,0,241363047
20180207 06:00,0,334771936
20180207 07:00,0,387970121
20180207 08:00,0,438914892
20180207 09:00,0,438714605
20180207 10:00,0,444859856
20180207 11:00,0,44438391
20180207 12:00,0,43782175
20180207 13:00,0,572394345
20180207 14:00,0,457153014
20180207 15:00,0,370179501
20180207 16:00,0,312469071
20180207 17:00,0,424316518
20180207 18:00,0,361172961
20180207 19:00,0,381242599
20180207 20:00,0,432311375
20180207 21:00,0,492340014
20180207 22:00,0,385133958
20180207 23:00,0,456553671
20180208 00:00,0,533377695
20180208 01:00,0,69354321
